tf	target_gene_counts
ensg:ENSG00000141867	16340
ensg:ENSG00000100393	16175
ensg:ENSG00000159216	16117
ensg:ENSG00000091831	16105
ensg:ENSG00000125952	16072
ensg:ENSG00000136997	15821
ensg:ENSG00000157554	15764
ensg:ENSG00000127616	15692
ensg:ENSG00000102974	15640
ensg:ENSG00000129514	15381
ensg:ENSG00000164754	15361
ensg:ENSG00000169083	15319
ensg:ENSG00000285827	14876
ensg:ENSG00000130726	14875
ensg:ENSG00000004487	14825
ensg:ENSG00000125798	14813
ensg:ENSG00000118260	14809
ensg:ENSG00000168769	14721
ensg:ENSG00000106462	14675
ensg:ENSG00000185591	14554
ensg:ENSG00000183337	14500
ensg:ENSG00000089094	14461
ensg:ENSG00000072501	14406
ensg:ENSG00000117139	14401
ensg:ENSG00000125686	14367
ensg:ENSG00000100811	14332
ensg:ENSG00000173473	14319
ensg:ENSG00000066336	14299
ensg:ENSG00000134323	14290
ensg:ENSG00000087510	14216
ensg:ENSG00000121060	14186
ensg:ENSG00000134954	14170
ensg:ENSG00000162772	14167
ensg:ENSG00000204256	14127
ensg:ENSG00000198911	14084
ensg:ENSG00000100644	14063
ensg:ENSG00000173039	14057
ensg:ENSG00000177606	14016
ensg:ENSG00000113580	13865
ensg:ENSG00000196363	13848
ensg:ENSG00000168610	13829
ensg:ENSG00000102145	13798
ensg:ENSG00000084093	13752
ensg:ENSG00000067369	13722
ensg:ENSG00000140262	13718
ensg:ENSG00000116478	13677
ensg:ENSG00000174720	13605
ensg:ENSG00000169375	13604
ensg:ENSG00000120690	13603
ensg:ENSG00000082175	13602
ensg:ENSG00000141510	13596
ensg:ENSG00000196591	13550
ensg:ENSG00000112592	13460
ensg:ENSG00000188612	13418
ensg:ENSG00000196235	13413
ensg:ENSG00000172216	13399
ensg:ENSG00000103495	13380
ensg:ENSG00000151702	13375
ensg:ENSG00000130522	13329
ensg:ENSG00000169016	13318
ensg:ENSG00000115415	13287
ensg:ENSG00000101412	13246
ensg:ENSG00000005339	13232
ensg:ENSG00000178951	13168
ensg:ENSG00000071564	13133
ensg:ENSG00000132964	13079
ensg:ENSG00000120738	13076
ensg:ENSG00000114861	13043
ensg:ENSG00000136807	12992
ensg:ENSG00000179348	12952
ensg:ENSG00000066135	12932
ensg:ENSG00000005889	12929
ensg:ENSG00000160741	12906
ensg:ENSG00000168214	12900
ensg:ENSG00000186834	12875
ensg:ENSG00000115289	12871
ensg:ENSG00000119950	12845
ensg:ENSG00000119707	12835
ensg:ENSG00000185551	12830
ensg:ENSG00000166478	12818
ensg:ENSG00000019549	12748
ensg:ENSG00000124813	12735
ensg:ENSG00000143437	12710
ensg:ENSG00000117222	12705
ensg:ENSG00000124092	12630
ensg:ENSG00000166949	12628
ensg:ENSG00000162367	12605
